87613ddfd2aaf05c1227f8316b29bda6|Anfänglich habe ich mir immer Notizen gemacht. Später habe ich es gelassen.|anfänglich habe ich mir immer notizen gemacht. später habe ich es gelassen.
d5f243f4da6998ef96af2f98caa85670|Ich ermittle in einem Mordfall.|ich ermittle in einem mordfall.
8fb7d03d2d12822bdea321ba25977916|Hast du dir die Oscar-Verleihung gestern Abend angeschaut?|hast du dir die oscar-verleihung gestern abend angeschaut?
3dd66ea8cbb5371b00ae907aee37552d|Wo hast du diese Verkleidung her?|wo hast du diese verkleidung her?
530dc5b475ada3396df875002a946db5|Rauch nicht so viel.|rauch nicht so viel.
ac8ea98257fb555e7c63d260f7a36ad7|Ratschläge sind wie Medizin, je besser sie sind, um so schlechter schmecken sie.|ratschläge sind wie medizin, je besser sie sind, um so schlechter schmecken sie.
b83b2509775441f2a3160aafcde4346e|Heißt das, dass du mich liebst?|heißt das, dass du mich liebst?
8615e489d3ac2a27bf0e10dd69cc58bf|Was ist?|was ist?
4053e16598dae9bf7d92ead8a06a26f5|Zeig mir nicht die Palme, zeig mir Daten und Fakten.|zeig mir nicht die palme, zeig mir daten und fakten.
ccb7d27e3176c3d798bf665adadabbaf|Der Geiz des Vaters macht die Mutter verschwenderisch.|der geiz des vaters macht die mutter verschwenderisch.
a63d3a6ba49c3f5de7ea2f8b5d3f549b|Vater ist nicht wichtig, aber seine Tasche!|vater ist nicht wichtig, aber seine tasche!
17049f208d48844c994845781d72bd51|Vor Verwandten kann man sich retten, vor Nachbarn nicht.|vor verwandten kann man sich retten, vor nachbarn nicht.
de6680e2ed3499aab82f369b55f2097b|Ich vergesse niemals etwas.|ich vergesse niemals etwas.
50f0a754a38ca01a17be327fd3937b72|Lieber zwei Rosinen als nur eine Dattel.|lieber zwei rosinen als nur eine dattel.
56d33f00ff293524a28db0f6899adb17|Tom konnte nicht hören, was gesagt wurde.|tom konnte nicht hören, was gesagt wurde.
8d40678c96f73928c6e5b6466e4c2e57|Tom nahm sich das Leben, nachdem er zu der Einsicht gelangt war, alles für nichts geopfert zu haben.|tom nahm sich das leben, nachdem er zu der einsicht gelangt war, alles für nichts geopfert zu haben.
478cc50ef012a747a28c91872c630336|Was ist eine Sonnenwende?|was ist eine sonnenwende?
804ef5d4c3dbc90b71da25b1f1b88977|Sie ruinierte ihre Kleidung.|sie ruinierte ihre kleidung.
9a3390a3f02cb12ffed3d50ee4d887ce|Ein Kamel macht sich nicht über den Buckel eines anderen lustig.|ein kamel macht sich nicht über den buckel eines anderen lustig.
2b7aed1fca6982ad6f22584feb5b439a|Ein Reisender soll Augen und Ohren aufreißen, nicht das Maul.|ein reisender soll augen und ohren aufreißen, nicht das maul.
5daff2238d492624f37a6b8e05c11cfb|Die Lederschildkröten können Hunderte Kilogramm wiegen.|die lederschildkröten können hunderte kilogramm wiegen.
03ff9590ec23257b4d53c91e96ab71bd|Der Affe stiehlt, weil er nicht arbeitet.|der affe stiehlt, weil er nicht arbeitet.
4837dce8ad828c0da9265e1f14326198|Gib den Füßen Ruhe, aber auch dem Herzen.|gib den füßen ruhe, aber auch dem herzen.
6d78fc4dee44f22e9935e11c25591431|Lausche auf den Ton des Wassers und du wirst eine Forelle fangen.|lausche auf den ton des wassers und du wirst eine forelle fangen.
e90e5b73115d36506ef27ad9e844f0dc|Unter aller Garantie wollen alle Jungen deine Telefonnummer haben.|unter aller garantie wollen alle jungen deine telefonnummer haben.
86d442e6be4d5cbb73ad490e7d5bb537|Schön, dass wir uns endlich kennenlernen.|schön, dass wir uns endlich kennenlernen.
63a9c48f3694b31c2f5037d1509045ea|Überlass es ihm.|überlass es ihm.
062addae80e1ad14bbb4c85458a611f7|Bei Schleifarbeiten trägt Tom immer eine Schutzbrille.|bei schleifarbeiten trägt tom immer eine schutzbrille.
4e642100b717091b88b0d9de065d3e7c|In der Westkirche ist Ostern immer am ersten Sonntag nach dem ersten Frühjahrsvollmond.|in der westkirche ist ostern immer am ersten sonntag nach dem ersten frühjahrsvollmond.
20d151d195009a4bc41c460c4d742cde|Fliehe, wenn ein Grieche dir etwas schenken will!|fliehe, wenn ein grieche dir etwas schenken will!
48ad89effee70a1601df004fa4c94da5|Alle hassen mich, weil ich hässlich bin.|alle hassen mich, weil ich hässlich bin.
a0137df0ed7534efd2a76282e93dfcf1|Er kommt nicht in Gang.|er kommt nicht in gang.
a5753aabebfce20da908bc91089bd201|Die Alte ist gesund und stark wie ein Baum.|die alte ist gesund und stark wie ein baum.
c9528260e83e565259ab33a15921f22e|Ich habe gesehen, wie es passierte.|ich habe gesehen, wie es passierte.
cfa2947468d0642d9e31e38cde0edf7d|Wie konntest du einfach so gehen, ohne dich zu verabschieden?|wie konntest du einfach so gehen, ohne dich zu verabschieden?
3a7eadf3a56e53dd712ea83c15064115|Tom musste sich von dem ernähren, was selbst von den Schweinen verschmäht wurde.|tom musste sich von dem ernähren, was selbst von den schweinen verschmäht wurde.
293f55c8f0fd9bd7351a5e0ba69f16c0|Die weiße und die rote Zwiebel wiegen gleich viel.|die weiße und die rote zwiebel wiegen gleich viel.
38802e04e8a856007af636bb80f42ccb|Sofort lief eine Menschenmenge um das Feuerwehrauto zusammen.|sofort lief eine menschenmenge um das feuerwehrauto zusammen.
b9c981164e7e7895653cadc9473908f2|Ich möchte jetzt mit ihr sprechen.|ich möchte jetzt mit ihr sprechen.
083470e28920940ca2d2d7e2de866ad3|Das sieht teuer aus.|das sieht teuer aus.
0175e3bd17084379485bfe461812342c|Entferne unnötige Worte!|entferne unnötige worte!
b3b1217a8f7dc474097e018eb853f18e|Der Thunfisch war angeblich zwei Meter fünfzig lang.|der thunfisch war angeblich zwei meter fünfzig lang.
fab46ee3a73dc62a89de84956498cce1|Ich habe die Bescheinigungen versiegelt.|ich habe die bescheinigungen versiegelt.
6138799cad9c49bb4a76d248502f3713|Du bist ein bisschen spät!|du bist ein bisschen spät!
2de23a4adf37be1438b9e8b7a9c1aa9b|Eine Wunde, von Worten geschlagen, ist schlimmer als eine Wunde, die das Schwert schlägt.|eine wunde, von worten geschlagen, ist schlimmer als eine wunde, die das schwert schlägt.
2eb69966ab95aed516ac1ce78770d8ff|Verkaufe deine Ware, solange sie dir noch lieb ist.|verkaufe deine ware, solange sie dir noch lieb ist.
e54aeca8281e4cbf9756117b9cd1bf8c|Die Zerstörung Karthagos war ein äußerst niederträchtiger Akt.|die zerstörung karthagos war ein äußerst niederträchtiger akt.
2f89ec6e5999110ebd7220bd5e134246|Vati liest am Frühstückstisch immer eine Zeitschrift.|vati liest am frühstückstisch immer eine zeitschrift.
f73cbe49516bb7b048b1b57dc303dcfb|Das schönste Geschenk, das man einem anderen Menschen machen kann, ist aufrichtige Zuwendung.|das schönste geschenk, das man einem anderen menschen machen kann, ist aufrichtige zuwendung.
fb9056fff05476cd2a2f96904311376c|Lang lebe die Ukraine! Ehre gebührt den Helden!|lang lebe die ukraine! ehre gebührt den helden!
5f11afc2422fc81bef160f40464c571a|Aufgrund des Kommutativgesetzes gilt - = x, 1/ = x .|aufgrund des kommutativgesetzes gilt - = x, 1/ = x .
bc5fbfc26ac81dc6277ad6ba330aaaec|Wer mit seinen eigenen Zähnen kaut, hat den meisten Nutzen.|wer mit seinen eigenen zähnen kaut, hat den meisten nutzen.
d5e03a0e41a1d456276d355ca71f206c|Sie wohnen in einem Häuslein.|sie wohnen in einem häuslein.
019c44a3e28e6c89da62d7dc894c6911|Nur die Betenden zu rufen, ist die Aufgabe des Muezzin.|nur die betenden zu rufen, ist die aufgabe des muezzin.
038e94ca9608b145aa56d287358c5930|Musst du denn alles, was ich vorschlage, ins Lächerliche ziehen?|musst du denn alles, was ich vorschlage, ins lächerliche ziehen?
002e35b6c98f7b38006d56fbc3cd0d3c|Ich freue mich, dich endlich persönlich kennenzulernen.|ich freue mich, dich endlich persönlich kennenzulernen.
2a024611090b0417ac9cb61428f485e5|Bist du denn nicht dafür verantwortlich?|bist du denn nicht dafür verantwortlich?
edcd161964cb9195475c9b73c6e49639|Bitte um Erlaubnis, bevor du mein Schlafzimmer betrittst!|bitte um erlaubnis, bevor du mein schlafzimmer betrittst!
155ec2d36f32b04a6f4e02cb61fd099f|Tom ist zärtlich.|tom ist zärtlich.
1d1c2ef1eaa1f18555e4bef32368d1cf|Wer nicht richtig faulenzen kann, kann auch nicht richtig arbeiten.|wer nicht richtig faulenzen kann, kann auch nicht richtig arbeiten.
79dbd3e3df987fc326529e0263b269c7|Der Firmpate gerät ins Schwitzen, weil er sein Firmkind teuer beschenken muss.|der firmpate gerät ins schwitzen, weil er sein firmkind teuer beschenken muss.
ff7bb29aa5c4606e50b98c0719ff707a|Wie groß ist die maximale Zuladung bei diesem Van?|wie groß ist die maximale zuladung bei diesem van?
ee11aeb45779609e0a60f47d7074e86f|Schämst du dich nicht deines unanständigen Angebots?|schämst du dich nicht deines unanständigen angebots?
ddf031b7dce9a941c2deaea095f4127b|Ich glaube, dass sie versucht, dich eifersüchtig zu machen.|ich glaube, dass sie versucht, dich eifersüchtig zu machen.
6002f3288dee6389fd844cf0032fb3a2|Bei dem können sich die Mäuse direkt Blutblasen unter die Füße rennen.|bei dem können sich die mäuse direkt blutblasen unter die füße rennen.
08ac2f5e815470fd0854ce5255fbca57|Nenn es, wie du willst.|nenn es, wie du willst.
d6be1e9d2e174194df856cfd7dd08773|Nase putzen!|nase putzen!
2e0c7339366dc4c0ae11e179000a6e5d|Jetzt fühl ich mich wieder besser.|jetzt fühl ich mich wieder besser.
eb3e72f2066628cbb8c7f3916333bbfc|Tom wiegt mehr als dreißig Kilo.|tom wiegt mehr als dreißig kilo.
6fc212dec9f74f2ac5bb96660146375d|Danke für den gestrigen Abend.|danke für den gestrigen abend.
15047a2afd5e70a544a5a030d2e3fb65|Diebe ruhen nie, Wächter ab und zu.|diebe ruhen nie, wächter ab und zu.
810c0301a5e46ce6e0db6331283ab247|Du flogst ab.|du flogst ab.
8e9dc749e39b72aa4b5a40bb90e08fac|Es ist doch wirklich schön, wenn die Neulinge noch so naiv sind, oder?|es ist doch wirklich schön, wenn die neulinge noch so naiv sind, oder?
bbc5b6fa8e55b8506d7d1c6d48f9f980|Am Rausch ist nicht der Wein schuld, sondern der Trinker.|am rausch ist nicht der wein schuld, sondern der trinker.
f6a60177af81b570ec1e9d946ca23d25|Je mehr du es mir erklärst, desto weniger verstehe ich es.|je mehr du es mir erklärst, desto weniger verstehe ich es.
49be7508acf2b897418a50f16efe6463|Was passiert ist, ist passiert.- Geschehen ist geschehen.|was passiert ist, ist passiert.- geschehen ist geschehen.
f1d193610e8de8fe936012bc7c307055|Wenn wir so weiter machen, werden wir ein Chaos schaffen.|wenn wir so weiter machen, werden wir ein chaos schaffen.
36077e1ffe266dda2af7551743f8d3db|Tom wird wirklich unberechenbar, wenn er säuft.|tom wird wirklich unberechenbar, wenn er säuft.
9a51dffdb1c4fbe17f632915c80e2b18|Das erste Weib kommt von Gott, das zweite vom Menschen, das dritte vom Teufel.|das erste weib kommt von gott, das zweite vom menschen, das dritte vom teufel.
ea9071fd316521cd5254f8e9b7daab17|Es ist das Allerletzte, dass er eine solche Lüge äußert.|es ist das allerletzte, dass er eine solche lüge äußert.
e4667c36f43a0157d33015d8d2410dbb|Tom hat mal viel getrunken, aber jetzt ist er Antialkoholiker.|tom hat mal viel getrunken, aber jetzt ist er antialkoholiker.
2b5b64bf527e446b476496290ec49968|Ein Huhn ist gut zu zweit zu essen; ich und das Huhn.|ein huhn ist gut zu zweit zu essen; ich und das huhn.
d489d82de5b79619b74e5d8dc42e89e5|Ich denke, du hast schon zu viel getrunken, um fahren zu können.|ich denke, du hast schon zu viel getrunken, um fahren zu können.
3a56393683599cb0694af1cf6f48739d|Erwerben ist leichter als Erhalten.|erwerben ist leichter als erhalten.
b0e21fe814fa69b8ca3fe41e08ee11a4|Die Zunge eines Weibes ist schärfer als ein türkischer Säbel.|die zunge eines weibes ist schärfer als ein türkischer säbel.
7c3eb7a1df2722bcd0221017195eaf9a|Frag den Alten nicht „Wie geht es dir?“, sondern „Was schmerzt dich heute?“.|frag den alten nicht „wie geht es dir?“, sondern „was schmerzt dich heute?“.
ed566ae525772dae06e17077d020bde4|Du solltest dich an den Kosten beteiligen.|du solltest dich an den kosten beteiligen.
7fd5612c18b9ab92c1fc6e5e89f5a4b0|Ich bin sicher, dass ihr dieses gefallen wird.|ich bin sicher, dass ihr dieses gefallen wird.
ec6eac1678520a1a667ad42f59ae23a5|Er ist für Minderjährige nicht geeignet.|er ist für minderjährige nicht geeignet.
27c0d7359d74703414c2414456d4591f|Er wurde zu einem Wetttrinken herausgefordert.|er wurde zu einem wetttrinken herausgefordert.
1e3806d031d8cb2fafd9b4d987b507bb|Überall waren Leute.|überall waren leute.
cb05a2abb3b292b588578500271d7e5e|Heirat und Totenhemd werden im Himmel zugeschnitten.|heirat und totenhemd werden im himmel zugeschnitten.
0f032cd2b85e40d30b8a88aa647cb700|Es tut mir leid, wenn ich dich störe.|es tut mir leid, wenn ich dich störe.
79298566060493ef3cb4911a1456c129|Dan ließ durchblicken, dass er an die Überlegenheit der Weißen glaubt.|dan ließ durchblicken, dass er an die überlegenheit der weißen glaubt.
060d7c63ae3960ba0149add78f736b0c|Er hat etwas nicht verstanden.|er hat etwas nicht verstanden.
8618086a725bdc47a201f2a913c9e1ce|Tom sagte, er müsse mit uns über etwas Wichtiges reden.|tom sagte, er müsse mit uns über etwas wichtiges reden.
e715f97897798746a067302c3a10c3c7|Wenn ihr nicht darüber reden möchtet, ist es kein Problem.|wenn ihr nicht darüber reden möchtet, ist es kein problem.
97be9782e7b7345fe553a06976c7a2cb|Du bist ziemlich anspruchsvoll.|du bist ziemlich anspruchsvoll.
ce7853f3885d2492e86000638d58e605|Du hast recht! Daran habe ich nicht gedacht.|du hast recht! daran habe ich nicht gedacht.
622e49837540fc5b3196abdb490afbfa|Er griff mich an.|er griff mich an.
3105aea65ef6028f1252fd9cb507aa0d|Ich stehe hier unter Dampf. Das Haus muss morgen fertig tapeziert sein.|ich stehe hier unter dampf. das haus muss morgen fertig tapeziert sein.
c71ae2fce8861265eca11a58b6be051f|„Sie trug eine gestreifte Bluse.“ – „Längsgestreift oder quergestreift?“|„sie trug eine gestreifte bluse.“ – „längsgestreift oder quergestreift?“
3b41397981ef7a586cc34c0ede448cb2|Herr Dupont möchte nicht mehr mit mir zusammenarbeiten.|herr dupont möchte nicht mehr mit mir zusammenarbeiten.
b181b655278099f5de13eb2d2e4ff3b4|Warum ist er so still?|warum ist er so still?
8fd9da0b6d727ca9db2a7cf653a8814b|Er zieht eine Fratze, in die man hineinschlagen will.|er zieht eine fratze, in die man hineinschlagen will.
df20dc1c8466954172005aa0bb9651b3|Habt ihr dies für mich gekauft?|habt ihr dies für mich gekauft?
737f9be62a942d0354759fcd9bb6938f|Der Mauersegler ist ein kleiner Zugvogel aus der Familie der Apodidae.|der mauersegler ist ein kleiner zugvogel aus der familie der apodidae.
0784d57c308e68c5b54cffebb5a7e403|Wer dich fürchtet, wenn du da bist, wird dich hassen, wenn du nicht da bist.|wer dich fürchtet, wenn du da bist, wird dich hassen, wenn du nicht da bist.
311274aadcc753ced6fe0ef1d1d3e9f9|Advokaten treiben es wie Kutscher, sie halten die Hand auf, bevor sie starten.|advokaten treiben es wie kutscher, sie halten die hand auf, bevor sie starten.
8ac70479035ac700b9438b617471e23b|Ich habe es schon gelesen.|ich habe es schon gelesen.
c4691c08848ca760bf7403894132c034|Man könnte etwas übersehen haben.|man könnte etwas übersehen haben.
c0b1b7fcfca6bcb7ea9981e1d116a4cc|Je langsamer du fährst, desto weiter kommst du.|je langsamer du fährst, desto weiter kommst du.
6d8ea58c475ed9df446cdd534c0417b0|Das ist mein Zimmer. Sie können hier nicht einfach so hereinplatzen!|das ist mein zimmer. sie können hier nicht einfach so hereinplatzen!
ab7a7d566fad32d7bb9cf7fd865ac5ed|Tom liegt wie immer falsch.|tom liegt wie immer falsch.
639e0453be0084ad914520256f38528b|Brauchtum ist älter und gilt mehr als Gesetz.|brauchtum ist älter und gilt mehr als gesetz.
ae8b55dac50efa433a013bb7b1538ea3|Ich möchte nur ein paar mehr Informationen.|ich möchte nur ein paar mehr informationen.
c7b69d1530c35fa7434ef0117bf130f2|Welche von euch zweien kommt mit mir mit?|welche von euch zweien kommt mit mir mit?
1aab468edcba95adcdb593ab4a61bcc4|Völlig unmöglich.|völlig unmöglich.
f9b34014b9fcbf4058e243510944c61d|Ich verstand nicht so viel von dem, über das sie redeten.|ich verstand nicht so viel von dem, über das sie redeten.
58e632a1bdb1cc5cc8654e03ba2d00b2|Kannst du Alligatoren und Krokodile voneinander unterscheiden?|kannst du alligatoren und krokodile voneinander unterscheiden?
eeba35210bd976737f32ea7655887bea|Eine verlorene Unze Gold kann gefunden werden. Eine verlorene Unze Zeit nie.|eine verlorene unze gold kann gefunden werden. eine verlorene unze zeit nie.
96bef3c7e7f10d03eb4488cae1061df6|Finnlandschweden unterstützen bei Eishockeyturnieren Finnland, nicht Schweden.|finnlandschweden unterstützen bei eishockeyturnieren finnland, nicht schweden.
e8ab2c14daa098fbb66faade3a8b4e46|Ich habe in meiner Studienzeit mit dem Tennis angefangen.|ich habe in meiner studienzeit mit dem tennis angefangen.
d5e334ecf7ffa9f3940569ba2ff56dc4|Viele, die eine Fremdsprache lernen, träumen davon, wie ein Muttersprachler sprechen zu können.|viele, die eine fremdsprache lernen, träumen davon, wie ein muttersprachler sprechen zu können.
affeb79fb2e96e1e916ff5c74f684eb9|Setz dich, wo immer du willst.|setz dich, wo immer du willst.
0b0db2b86dda467104d2c48b8bec3dd7|Wer mir schmeichelt, ist mein Feind. Wer mich tadelt, ist mein Lehrer.|wer mir schmeichelt, ist mein feind. wer mich tadelt, ist mein lehrer.
f2c97f9e1d3b548da85f591cd44a63f7|Aus dem Tunnel kam das dumpfe Geräusch einer Zugpfeife.|aus dem tunnel kam das dumpfe geräusch einer zugpfeife.
e398b616098f7cc36a3d1332d81e333b|Wissen, das sich nicht täglich vermehrt, nimmt ab.|wissen, das sich nicht täglich vermehrt, nimmt ab.
339d36320bb85f5e3b0205c1b2c5b4f7|Ich habe einen Ratschlag für dich, über den du nachdenken kannst.|ich habe einen ratschlag für dich, über den du nachdenken kannst.
33d5d6138e6c44b402db4dca5ad5c912|Sie helfen uns.|sie helfen uns.
c002e9d9201896037aef0dc322f95676|Keine Familie kann das Schild „Hier ist alles in Ordnung“ heraushängen.|keine familie kann das schild „hier ist alles in ordnung“ heraushängen.
a64cbfe9d759eb66a7ac5b49ba36ea6b|Kann ich etwas warme Trinkschokolade haben?|kann ich etwas warme trinkschokolade haben?
3ac3a63adb1fe54fc2214d5d8f8c7c33|Tom mochte damals kein Bier.|tom mochte damals kein bier.
bfae31beb715d4fca0dd004ff3a270e5|Welche Schuhgröße hat Tom?|welche schuhgröße hat tom?
4f6eabe1d994401642dbbd45155c055f|Lass es wenig sein, aber lass es gut sein.|lass es wenig sein, aber lass es gut sein.
614136ede6eac57d2db08b476c909ad2|Wo ist die dänische Botschaft?|wo ist die dänische botschaft?
e9ac1dd9798995441b74cebd95a218e0|Die Hosentaschen der Armen sind leer, doch ihre Herzen sind voll.|die hosentaschen der armen sind leer, doch ihre herzen sind voll.
22eda44085be4b71eec5d07869409582|Wenn du dich ranhältst, wirst du es letztlich schaffen.|wenn du dich ranhältst, wirst du es letztlich schaffen.
94b581e7a06bf3c433fd6e6b7feed873|Übrigens, ein Zehntel von einem Prozent sind 100 Prozent von einem Promille.|übrigens, ein zehntel von einem prozent sind 100 prozent von einem promille.
aa628300a0b763a4314eff6a3ddbba20|Das Rathaus wurde zwischen 1895 und 1897 erbaut.|das rathaus wurde zwischen 1895 und 1897 erbaut.
2bf8bfb0b3a573c1f29705f9848f1412|Ich kann gut nachvollziehen, wie dir zumute ist.|ich kann gut nachvollziehen, wie dir zumute ist.
adb3b1902f1c5062dee1b273196a9eb0|Das will ich nicht glauben.|das will ich nicht glauben.
b3ff6dfcca9a016cb33bb11081f7144b|Ich nehme an, der Junge, der dir so ähnlich sieht, ist dein Bruder.|ich nehme an, der junge, der dir so ähnlich sieht, ist dein bruder.
97b9112ae9d99dd14eb43d4e1ca2d580|Ist es wirklich wahr, dass du in London studieren wirst?|ist es wirklich wahr, dass du in london studieren wirst?
cc2f6e5a5eda8f380e6c1329704152b2|Du weißt, dass ich mit Geheimnissen nicht gut umgehen kann.|du weißt, dass ich mit geheimnissen nicht gut umgehen kann.
84d4a3e95df6144cb2d9c5e0853103e5|Es handelt sich hierbei um einen häufigen Rechtschreibfehler.|es handelt sich hierbei um einen häufigen rechtschreibfehler.
f82bf516aa6be9c44a9f6abb81053ac5|Ich werde dir helfen, dein Potential zu erkennen.|ich werde dir helfen, dein potential zu erkennen.
68cf341d12840ed28c44e7eca67e2b44|Du solltest einen Umzug nach Boston in Erwägung ziehen.|du solltest einen umzug nach boston in erwägung ziehen.
7209b2935865b3f467927db0dd7ea751|Sie zeigte mir die Gedichte, die sie als junges Mädchen geschrieben hatte.|sie zeigte mir die gedichte, die sie als junges mädchen geschrieben hatte.
6c4f5051711d95929cfb579932ea850c|Das Mikrophon gehört dir.|das mikrophon gehört dir.
8890858957de30f8218fc42e80ce6228|Das Datum des Events steht noch nicht fest.|das datum des events steht noch nicht fest.
a40352268bcf182bf99eba01a20e443a|Es sieht so aus, als hätten wir alles.|es sieht so aus, als hätten wir alles.
3029c53354f5fd290d4ab23f1cd0f2af|Er ist hoffnungslos verliebt.|er ist hoffnungslos verliebt.
fd255ccb41f6fabac19ae7cf6e249113|Ich werde langsam nervös.|ich werde langsam nervös.
1041fe230a9a6d88b2a97930f38b925d|Was man tun muss, das tue man gern.|was man tun muss, das tue man gern.
c67333ef79db142e04c51ad33f2f5f66|Ich werde nie so gut sein wie du.|ich werde nie so gut sein wie du.
ca1b77f46f126a4a152b0e7d8c11f3f5|Ich salutiere dem gelehrten Herrn! Ihr habt mich weidlich schwitzen machen.|ich salutiere dem gelehrten herrn! ihr habt mich weidlich schwitzen machen.
40c7c9037774e57d08754b25d8e24f12|Möchtest du in Mumbai leben?|möchtest du in mumbai leben?
18e458332e59fbdb393b8d3f231692f3|Ich hatte nicht vorgehabt, sie zum Weinen zu bringen.|ich hatte nicht vorgehabt, sie zum weinen zu bringen.
b350aec3f1facb1f827bb50cc8341a8c|Warum müssen diese Tabletten eigentlich immer Nebenwirkungen haben?|warum müssen diese tabletten eigentlich immer nebenwirkungen haben?
5f87a48a87efc717c5a7bf2b6ccaa5b0|Für andere ist er ein Experte, aber für sich ist er blind.|für andere ist er ein experte, aber für sich ist er blind.
0e44241334f2a75f75218a0af5310670|Sie hört nicht auf, mich anzurufen und mir Nachrichten zu schicken.|sie hört nicht auf, mich anzurufen und mir nachrichten zu schicken.
1e687aa8b35471d7381bbcc5fe32b2bc|Ich weiß nicht, ob das klug oder nicht klug ist.|ich weiß nicht, ob das klug oder nicht klug ist.
b19fb713c49d710c20cf2f9984ed495d|Ich habe den Aschenbecher aus dem Restaurant gestohlen.|ich habe den aschenbecher aus dem restaurant gestohlen.
87e49fa567780f0c8ef92537debeea67|Es ist manchmal der Stier, der gewinnt.|es ist manchmal der stier, der gewinnt.
9d0f672b35c59780156bb4c510e1e248|Er war Botschafter bei den Vereinten Nationen.|er war botschafter bei den vereinten nationen.
b369460048a075202d9cb560ea380c28|Es ist kostenlos erhältlich.|es ist kostenlos erhältlich.
a1436df09c432f914719f638353d0bff|Sie fragte ihn, wo er wohne, aber er war zu schlau, um es ihr zu verraten.|sie fragte ihn, wo er wohne, aber er war zu schlau, um es ihr zu verraten.
52be7a5d5b5ceda9e11e2fe06f643759|Sie haben, glaube ich, meinen Schirm.|sie haben, glaube ich, meinen schirm.
1bcaf4c52a34790648787dc2e3f5ad48|Mit Delfinen zu schwimmen ist gefährlich.|mit delfinen zu schwimmen ist gefährlich.
1696e4c82a7fdcb9df48a0cadb7a22ce|Diese Faktoren sind wichtig.|diese faktoren sind wichtig.
010d2aaf8f8c19a42aa6e4c8ad297c1f|Karbohydrate sind organische Verbindungen.|karbohydrate sind organische verbindungen.
c36d04fa82b458d50cdf2b9f6cd9a6de|Ich bin verliebt, doch ich weiß nicht, ob das auf Gegenseitigkeit beruht.|ich bin verliebt, doch ich weiß nicht, ob das auf gegenseitigkeit beruht.
1041a3b20c7f0976eac1e8f3406a58a7|Herr Colcott hat die japanische Küche lieben gelernt.|herr colcott hat die japanische küche lieben gelernt.
daa1dd1a0ff989279d39905814caffc7|„Wie gut kennst du eigentlich Schmidts?“ – „Wen?“ – „Die Nachbarn!“|„wie gut kennst du eigentlich schmidts?“ – „wen?“ – „die nachbarn!“
17f28607f5489f604a9c4ccb54fe7454|Ein Bußgeld über eine Million Yen? Das juckt mich überhaupt nicht.|ein bußgeld über eine million yen? das juckt mich überhaupt nicht.
9009495d39d04dbb0a09b368cc5da435|Der Regelverstoß wurde vom Schiedsrichter geahndet.|der regelverstoß wurde vom schiedsrichter geahndet.
42c4b07f1a03efe07ee73f0cb091a801|Diese Hefte sind gleich dick.|diese hefte sind gleich dick.
e0c08bbf1edb89a06c2b95fee630b261|Der Anstieg terroristischer Handlungen ist wirklich beklemmend.|der anstieg terroristischer handlungen ist wirklich beklemmend.
9a10ef4eb19e83c3a0ecdd7d5a4f37c6|Tom ist einer der besten Mitarbeiter, die ich habe, und immer höflich und bescheiden.|tom ist einer der besten mitarbeiter, die ich habe, und immer höflich und bescheiden.
4442fdb5e9940df0429d68d92f23b2c2|Wozu kaufst du das, obwohl du weißt, dass du es nicht benutzen wirst?|wozu kaufst du das, obwohl du weißt, dass du es nicht benutzen wirst?
f0dc688b0e1cd853bc2e7bc43414a994|Tom heult wie ein Baby.|tom heult wie ein baby.
ec86a3167ccc5d80b6589aa59989d5aa|Es interessiert mich nicht, ob du willst – du musst. Keine Widerrede!|es interessiert mich nicht, ob du willst – du musst. keine widerrede!
722be7b6d3e3ca4697445dd141a3c40a|Der Vatikan ist ein souveräner Staat, dessen Hoheitsgebiet in der italienischen Stadt Rom liegt.|der vatikan ist ein souveräner staat, dessen hoheitsgebiet in der italienischen stadt rom liegt.
4e93b7a0941f9cb60c5053715d4e5d59|Früher hatte Mama die Antwort auf alle Fragen; heute ist es das Internet.|früher hatte mama die antwort auf alle fragen; heute ist es das internet.
5e162fd22267be1519b4ded450304f96|Der Bleistift, den ich gestern verloren habe, war ein alter.|der bleistift, den ich gestern verloren habe, war ein alter.
89dd07b4447048aa5c87b84833c35f69|Tom ist folgsam, fast schon unterwürfig.|tom ist folgsam, fast schon unterwürfig.
54c8d141d226418c4779c7eedbdc638c|Es gibt keine Hoffnung. Der Untergang ist unvermeidlich.|es gibt keine hoffnung. der untergang ist unvermeidlich.
49966f516f767b3312fdd651ce465454|Ich bin draußen, wenn du mich brauchst.|ich bin draußen, wenn du mich brauchst.
75d9bce57c966539e2acde6fedf0041d|Sie haben die Mülleimer hinausgebracht.|sie haben die mülleimer hinausgebracht.
d4122cdbce001ab9e8beb17645f599cf|Mit dem guten Ruf, dem Glauben und den Augen soll man nicht scherzen.|mit dem guten ruf, dem glauben und den augen soll man nicht scherzen.
db054958158a5bfc56b7a83b6aa7e309|Mekka war das Handels- und religiöse Zentrum Saudi-Arabiens.|mekka war das handels- und religiöse zentrum saudi-arabiens.
7ad9d532ac19a4ada90ed8f00700cd6f|Wie weit ist es von New York nach London?|wie weit ist es von new york nach london?
794ff8f562bab3e7ed0ab1ee4aa15719|Uns gefällt es.|uns gefällt es.
0c28d21d4f215210e5c1252aedf440fc|Was hast du sonst noch gesehen?|was hast du sonst noch gesehen?
